path,total_conversions,total_conversion_value,total_null
Push Notifications,1,3.405,3
Email > Push Notifications > Push Notifications > Internal Campaign,1,0.968,3
Paid Search > Display > Display > Paid Social > Push Notifications,1,5.968,2
Email > Paid Search > SMS > Paid Search > Paid Search > Paid Search > Email > Display > Paid Social > Paid Search > Email > Paid Search > Paid Search > Paid Search > Affiliate > Affiliate > Affiliate > Affiliate > Paid Social > Affiliate > Affiliate > Affiliate > Affiliate > Paid Search > Affiliate > Affiliate > Affiliate > Affiliate > Affiliate > Paid Search > Paid Search,1,10.868,2
Push Notifications > Paid Search > Display > Display > Display > Display > Paid Search > Push Notifications,1,2.3,3
Paid Search > Paid Search > Email,1,5.8,2
Push Notifications,0,0,3
Paid Search > Push Notifications > Display > Display > Push Notifications,0,0,3
Display > Email > Paid Search,1,10.818,3
Push Notifications > Display > Display > Display > Push Notifications,1,7.6,3
Display > Email,4,21.209,13
Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Videos > Affiliate > Paid Social,1,9.053,2
Videos > Videos > Videos > Videos > Videos > Videos > Videos > Videos > Videos > Paid Social > Affiliate > Videos > Email > Videos > Videos > Videos > Videos > Videos > Email > Videos > Videos,0,0,2
Push Notifications > Paid Search > Paid Search > Push Notifications > Paid Search > SMS > Paid Search > Push Notifications > Paid Search > Paid Search > Paid Search > Push Notifications > Paid Search > Paid Search > Paid Search > Paid Search > Push Notifications > Paid Search > Paid Search,1,2.35,2
Display > Push Notifications > Display > Push Notifications,2,10.6,6
Paid Search > Paid Search > Paid Search > Push Notifications,1,1.874,2
Paid Social > SMS > Paid Social > Email > Paid Social,1,2.223,5
Display > Push Notifications > Display > Push Notifications > Push Notifications,1,2.679,3
Paid Search > Paid Search > Display > Paid Search,0,0,2
Paid Search > Display > Push Notifications > Display > Push Notifications > Email > Display > Paid Search,1,6.93,3
Videos > Paid Search > Videos > Videos > Paid Social > Videos > Videos > Videos > Videos,0,0,3
Push Notifications > Paid Social > Videos,1,5.307,2
Display > Push Notifications,2,12.701,6
Push Notifications > Display > Email,1,1.9,3
Email > Display > Push Notifications,1,2.57,2
Paid Search > Paid Social > Affiliate,1,3.665,2
Display > Display > Display > Push Notifications > Videos,1,3.905,2
Email > Display > Push Notifications,1,9.438,2
Paid Search > Paid Search > SMS > SMS > Videos > Videos > Videos > Videos > Videos > Videos,1,7.526,3
Videos > Videos > Videos > Internal Campaign > Videos,5,28.839,13
Push Notifications > Videos > Videos > Paid Search > Paid Search > Affiliate > Paid Search > Paid Social,1,12.19,2
Display,2,7.285333333,8
Paid Search > Internal Campaign > Videos > Internal Campaign > Internal Campaign,1,3.241,3
Paid Search > Paid Search > Paid Social > Paid Search > Paid Social > Paid Search > Paid Search > Paid Social > Paid Social,1,2.3715,5
Display > Paid Search > Affiliate,1,4.135,3
Paid Search > Display > Paid Search > Paid Search > Direct Mail > Videos > SMS > Videos,1,14.172,2
Push Notifications > Push Notifications > Push Notifications,1,2.573,2
Push Notifications,1,1.583,6
Paid Search > Display > Display > Display > Push Notifications > Affiliate > Paid Search > Push Notifications > Display > Push Notifications > Display > Display > Videos > Display > Paid Search > Display > Display > SMS > Display > Paid Search > Display > Push Notifications > Videos > Paid Search > Videos > Paid Search > Paid Social,1,16.18,2
Email > Email > Email > Paid Social > Email,1,6.72,2
Push Notifications,1,3.003,2
Paid Search > Paid Search,1,3.4,2
Push Notifications,2,11.422,10
Paid Search > Paid Search > Paid Search > Paid Search,1,7.939,2
Paid Search > Display > Paid Social > Paid Search > Paid Search > Paid Search > Paid Search,0,0,2
Paid Search > Display > Display > Display > Push Notifications > Push Notifications > Paid Search > Display > Push Notifications > Paid Search > Display > Push Notifications > Paid Search > Affiliate > Paid Search > Affiliate > Paid Search > Paid Search > Paid Search > Push Notifications,1,1.653,2
Paid Search > Direct Mail,1,2.045,2
Display > Display > Display > Display,0,0,2
Paid Search > Paid Search > Email > Email > Paid Search > Paid Search > Paid Search > Paid Search > Display > Display > Display > Display > Paid Social > Email > Push Notifications > Paid Search > Paid Search > Display > Display > Display > Display > Paid Search,1,2.54,2
Display > Push Notifications > Push Notifications > Internal Campaign > Email > Display > Push Notifications > Display > Push Notifications > Display > Display > Display > Display > Internal Campaign > Display > Push Notifications > Email > Paid Social > Affiliate,1,21.027,2
Display > Push Notifications > Push Notifications > Paid Search > Email,1,2.589,2
Paid Search > Display,1,8.428,2
Display > Display > Display > Push Notifications > Paid Search > Paid Search > Display > Display > Push Notifications > Push Notifications > Affiliate,0,0,3
Paid Search > Push Notifications > Paid Social > Push Notifications,1,11.04,2
Display > Push Notifications > Paid Search > Videos > Videos,1,5.7,2
Paid Search > Email > Display > Push Notifications > Email > Paid Search > Push Notifications > Email,1,7.775,2
Push Notifications > Paid Search > Paid Search > Videos > Videos > Paid Search > Paid Search > Paid Social,1,2.14,2
Push Notifications > Push Notifications > Push Notifications,1,1.787,3
Paid Search > Display > Paid Search > Paid Social > Paid Search > Paid Search > Paid Search > Display > Paid Search > Videos > Email > Paid Social > Videos,1,2.9,3
Push Notifications > Paid Search > Paid Search > Paid Search > Push Notifications > Paid Search > Push Notifications > Paid Social,1,13.013,2
Display,0,0,3
Email > SMS > Paid Search > SMS > SMS > SMS > Email > SMS > SMS > Email > Email,1,1.532,2
Paid Search > Paid Search > Paid Search > Display > Email > Paid Search > Push Notifications > Paid Search,0,0,2
Display > Push Notifications > Display > Paid Social > Display > Paid Social > Email > Affiliate > Display > Paid Social > Paid Social > Email,1,1.545,3
Paid Search > Paid Search > Paid Search > Paid Search > Display > Display > SMS > Paid Search > Email > Paid Social > Push Notifications,0,0,2
Paid Search > Paid Search > SMS > Paid Search > SMS > Email > Paid Search > Paid Social > Paid Social > Paid Social,1,1.849,2
Display > Display,1,16.707,2
Display > Display > Display > Paid Social > Display > Paid Social,1,2.039,2
Internal Campaign > Push Notifications,0,0,2
Paid Search > Paid Search > Push Notifications,1,4.83,3
Display > Paid Search,2,6.8065,11
Push Notifications > Email > Push Notifications > Push Notifications,1,2.16,2
Display > Display > Paid Search,1,6.155,3
Display > Display > Push Notifications > Display > Push Notifications,1,2.029,2
Display > Push Notifications > Display > Push Notifications > Display > Push Notifications,1,4.309,2
Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search,1,4.3,2
Display > Push Notifications > Push Notifications > Display > Push Notifications > Push Notifications > Display > Push Notifications,1,6.98,3
Paid Search > Paid Search > SMS > SMS > Display > Push Notifications > Paid Search > Paid Search,1,7.128,2
Display > Push Notifications,4,26.645,13
Display > Push Notifications > Display > Push Notifications > Display > Display > Display > Push Notifications,1,2.359,3
Paid Search > Paid Search > Display > Display > Push Notifications,0,0,3
Display > Paid Search > Display > Paid Search > Paid Search > Paid Social,0,0,2
Direct Mail > Affiliate > Push Notifications > Paid Search > Email > Paid Search > Email > Affiliate,1,9.848,2
Paid Search > Internal Campaign > Paid Search > Paid Search,1,3.873,3
Paid Search > Push Notifications,1,2.327,3
Display,1,9,2
Email > Paid Social > Display > Push Notifications,1,8.6,2
Display > Display > Display > Videos > Paid Social,1,3.4,2
Paid Search > Display,1,3.1,3
Push Notifications > Push Notifications > Affiliate,1,2.662,2
Paid Search > Paid Social > Paid Social > Paid Social > Paid Search > Affiliate,2,8.133,6
Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Email > Display > Paid Search > Email,1,3.616,2
Paid Search > Affiliate > Videos,4,20.568,18
Paid Search > Display > Push Notifications > Paid Search > Display > Paid Search > Display > Paid Search,1,2.2,2
Display > Display > Display > Display > Display > Display > Paid Search > Paid Search,1,2.67,2
Paid Search > Email > Paid Search > Email > Paid Search,1,4.9,2
Videos > Paid Social > Paid Social > Paid Social > Paid Social > SMS,1,7.601,2
Paid Search > Push Notifications > Paid Search > Paid Search,1,6.344,2
Paid Search > Paid Search > Email > Videos,1,8.923,2
Display > Paid Search > Display > Affiliate,1,5.386,2
Push Notifications > Videos > Internal Campaign,1,2.2,3
Push Notifications > Display > Push Notifications > Push Notifications > Push Notifications > Push Notifications > Push Notifications > Push Notifications,0,0,2
Push Notifications > Direct Mail > Push Notifications > Paid Social,1,2.442,2
Display > Paid Search > Display > Display > Display > Display > Paid Social > Paid Social > Paid Social > Paid Social > Affiliate,1,3.869,2
Paid Search > Push Notifications,2,10.664,6
Push Notifications > Push Notifications > Push Notifications > Push Notifications > Push Notifications > Push Notifications > Push Notifications > Push Notifications > Push Notifications > Push Notifications,1,8.557,2
Push Notifications > Videos > Videos > Paid Social > Videos > Videos,1,2.2,2
Display > Display > Display > Display > Display > Paid Social > Push Notifications > Email > Display > Push Notifications > Affiliate > Push Notifications > Display > Push Notifications > Display > Paid Social,0,0,2
Direct Mail > Videos,1,8.348,3
Display > Display > Display > Paid Search > Paid Search > Display > Paid Social,1,2.756,2
Videos > Videos > Videos > Videos > Paid Social > Paid Social > Videos > Paid Social > Videos > Affiliate > Videos > Videos > Videos > Videos > Videos,1,3.4,3
Display > Push Notifications > Display > Display > Push Notifications > Display > Push Notifications > Display > Display > Paid Social > Display > Display > Push Notifications > Push Notifications > Display > Push Notifications > Push Notifications > Push Notifications > Email > Display > Push Notifications > Push Notifications > Push Notifications > Paid Social > Display > Display > Push Notifications > Display > Push Notifications,1,4.824,3
Display > Display > Display > Display > Push Notifications > Display > Push Notifications > Display > Push Notifications > Display > Display > Push Notifications,1,2.3,2
Display > Push Notifications > Display > Push Notifications,0,0,3
Email > Videos > Videos > Videos > Videos > Paid Search > Videos > Videos > Videos,1,4.14,2
Push Notifications,1,0.741,2
Push Notifications,1,0.795,6
Push Notifications,1,6.043,2
Push Notifications > Push Notifications > Push Notifications > Push Notifications > Push Notifications,1,3.65,2
Display > Paid Social > Display > Paid Search > Display > Display > Display > Display > Push Notifications,1,2.983,3
Push Notifications > Display > Push Notifications,1,3.5,3
Display > Paid Social > Display > Push Notifications,1,3.887,2
Display > Paid Social,8,30.1328,28
Push Notifications,0,0,3
Display > Push Notifications > Display > Push Notifications,2,5.301,6
Display > Display > Display > Affiliate > Affiliate > Affiliate > Affiliate > Affiliate > Paid Social > Affiliate > Paid Social,0,0,2
Push Notifications,1,6.484,3
Display > Display > Push Notifications,1,2.09,3
Paid Search > Paid Search > Paid Search > Affiliate,0,0,2
Paid Search > Display > SMS,1,1.56,3
Paid Search > Internal Campaign > Paid Search > Internal Campaign > Push Notifications > Affiliate > Email > Paid Search > Push Notifications > Email > Paid Search > Push Notifications,1,2.587,2
Display > Display > SMS > Display,1,2.73,2
Push Notifications > Paid Search > Paid Search,1,3.648,3
Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Search,2,6.973,6
Paid Search > Paid Search > Paid Search > Videos > Videos > Videos > Videos,1,3.8,3
Direct Mail > Email > Email > Email > Paid Search > Email > Paid Social > Paid Social,1,2.414,3
Display > Paid Search > Paid Search > Paid Search > Paid Social,1,1.9,2
Paid Search > Internal Campaign > Paid Social > Internal Campaign > Email > Paid Social > Paid Search,1,3.799,3
Push Notifications > Push Notifications > Push Notifications,1,2.3,2
Paid Search > Push Notifications > Display > Paid Search > Display > Push Notifications,1,2.865,3
Push Notifications,2,8.888666667,8
Email > Paid Search > Paid Search > Paid Search > Paid Search,1,3.179,3
Push Notifications > Paid Social > Push Notifications > Push Notifications > Paid Social,1,2.511,3
Paid Search > Paid Search > Videos > Videos > Email,0,0,3
Display > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Display > Push Notifications > Display > Videos,1,1.591,2
Paid Search > Paid Search > Push Notifications,1,2.8,3
Email > Direct Mail > Email > Direct Mail > Email > Paid Social > Paid Social,2,15.98,5
Push Notifications > Paid Search > Paid Search > Paid Search,1,3.733,2
Push Notifications,14,42.483,51
Paid Search > Paid Search > Display > Paid Search > Paid Social > Paid Social > Paid Search,1,2.9,2
Email > Email > Videos > Videos > Videos > Email > Videos > Videos > Email > Paid Social > Paid Social > Paid Social > Paid Social > Videos > Videos > Videos > Email > Paid Social > Paid Social > Videos > Videos,0,0,3
Paid Search > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social,0,0,2
Paid Social > Paid Social > Paid Social > Videos > Paid Social > Paid Social > Push Notifications > Paid Social > Paid Social > Paid Social > Videos > Paid Social,1,11.858,3
Display > Display > Push Notifications,1,3.981,2
Push Notifications,2,6.160666667,7
Paid Search > Paid Search > Display > Paid Search > Paid Search,1,2.6,2
Display,1,3.498,3
Paid Search > Push Notifications,0,0,3
Display > Display > Push Notifications > Affiliate > Display > Push Notifications > Paid Social,1,3.446,3
Email > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search,0,0,2
Display > Paid Social > Display,0,0,3
Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Email,11,36.93217647,53
Push Notifications > Push Notifications > Push Notifications > Push Notifications > Push Notifications > Push Notifications > Push Notifications > Push Notifications > Push Notifications > Push Notifications > Push Notifications > Push Notifications,0,0,2
Display > Display > Display > Display,1,2.875,2
Email > Email > Paid Social > Affiliate > Paid Social,2,7.886,5
SMS > Push Notifications > Paid Social,0,0,2
Paid Search > Paid Search > Paid Search > Paid Social,0,0,2
Email > Internal Campaign > Email > Display > Push Notifications > Display > Push Notifications > Email,1,0.837,2
Paid Search > Paid Search > Paid Social > Paid Search > Internal Campaign > Paid Social > Push Notifications > Push Notifications > Push Notifications > Affiliate > Paid Social,1,7.904,2
Display > Push Notifications,1,6.9,2
Push Notifications > Paid Social,1,10.429,2
Email > Email > Display > Push Notifications > Email > Paid Search > Email,1,3.447,3
Push Notifications > Videos > Push Notifications,1,1.627,2
Display > SMS > SMS,1,5.674,2
Paid Social > Paid Search > Paid Search > Paid Search,1,3.477,2
Push Notifications > Display > Display > Display > Display > Push Notifications > Paid Social > Affiliate,1,6.21,3
Email > Paid Search,2,4.41,6
Videos > Email > Videos > Paid Social > Videos > Videos > Paid Social > Paid Social > Videos > Paid Social > Paid Social > Email > Paid Social > Paid Social > Videos > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social,0,0,2
Push Notifications > Push Notifications > Email > Push Notifications,1,7.243,2
Email > Paid Search > Paid Search > Email > Videos > Videos,1,7.124,2
Push Notifications,1,3.405,2
Display > Display > Push Notifications > Email > Push Notifications > Paid Social > Push Notifications,0,0,3
Paid Search > Paid Search > Paid Search > Paid Search > SMS > Paid Search > Paid Search > Paid Search > SMS > Paid Search > Paid Search > Paid Social > SMS > Paid Search,1,2.263,3
Push Notifications,3,26.6604,12
Display > Display,1,3.7,3
Display > Display > Display > Paid Social > Paid Social,1,12.063,2
Display > Paid Social > Display > Push Notifications > Videos > Internal Campaign > Display > Paid Search > Push Notifications > Email,1,2.528,2
Push Notifications > Display > Push Notifications > Paid Social > Paid Social > Email > Internal Campaign,1,6.155,3
Email > Paid Social > Paid Search > Paid Search > Paid Search > Paid Search > Paid Social > Paid Search > Paid Search > Paid Search > Paid Social > Push Notifications > Push Notifications > Push Notifications,2,17.24,5
Push Notifications > Push Notifications > Paid Social > Push Notifications > Push Notifications > Paid Social > Paid Social > Paid Social,1,4.065,2
Paid Search > Push Notifications > Push Notifications,1,3.856,2
Push Notifications > Display > Paid Social > Push Notifications > Display > Push Notifications > Display > Direct Mail > Push Notifications,0,0,3
Push Notifications,1,0.745,2
Email > SMS > SMS > SMS > Email,1,1.506,2
Display > Email > Email > Email > Email > Email > Paid Search > Display > Email > Display > Display > Paid Search > Paid Search > Email > Paid Search > Display > Email > Paid Social > Email > Paid Search,1,3.443,3
Paid Search > Paid Search > Paid Search > Paid Social > Paid Search > Paid Search > Videos,0,0,2
Email > Push Notifications > Push Notifications,1,2.005,3
Push Notifications > Push Notifications,1,4.334,2
Email > Paid Search > Email > Paid Search > Paid Search > Display > Push Notifications > Display > Display > Affiliate > Paid Search > Email > Paid Search > Email > Paid Search,0,0,2
Push Notifications,2,4.593333333,7
Push Notifications > Push Notifications > Paid Search > Email > Paid Search > Paid Search > Push Notifications > Email > Email > Email > Email > Push Notifications > Email > Push Notifications > Email > Email > Email > Push Notifications > Email > Push Notifications > Push Notifications > Email > Paid Search > Paid Search,1,3,3
Paid Search > Push Notifications > Videos > Paid Search > Paid Search > Paid Search > Videos,1,11.305,2
Affiliate > SMS > Paid Search > Affiliate > SMS > Paid Search,1,1.48,2
Paid Search > Videos > Videos > Affiliate,0,0,3
Paid Search > Videos,1,2.789,2
Display > Paid Search > Push Notifications,0,0,3
Paid Social > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search,1,3.17,2
Paid Search > Paid Search > Paid Search > Paid Search,3,6.768,9
Push Notifications > Paid Social > Display > Paid Search > Videos > Videos,1,9.54,2
Paid Social > Paid Search > Videos,1,2.261,2
Paid Search > Push Notifications,2,16.92733333,9
Push Notifications > Paid Social,1,1.285,2
Paid Search > Paid Search > Affiliate > Affiliate,1,5.288,3
Display > SMS,1,2.76,2
Display > Display > Display > Display > Push Notifications > Push Notifications > Push Notifications > Paid Social,1,4.45,2
Paid Search > Push Notifications > Paid Social,0,0,2
Push Notifications > Paid Social > Paid Social > Paid Social > Affiliate > Push Notifications,1,9.352,2
Paid Search > Display > Paid Search > Paid Search > Paid Search > SMS > Paid Search > Paid Social > Paid Social,1,4.24,2
Paid Search > Videos > Videos > Videos > Videos > Paid Social > Paid Social,1,4.132,3
Videos > SMS > Videos > Paid Social > Videos,3,33.011,9
Push Notifications,2,0.347,5
Paid Search > Paid Search > Paid Search > Paid Social > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search,1,7.493,2
Display > Paid Search > Email > Push Notifications,1,4.92,2
Push Notifications > Display > Display > Display > Push Notifications,1,4.564,3
Paid Search > Paid Social > Paid Social > Internal Campaign,1,3.513,3
Videos > Videos > Paid Social > Display,1,2.872,3
Push Notifications > Push Notifications > Push Notifications,1,1.026,2
Display > Display > Push Notifications > Paid Social > Paid Social,1,6.9,3
Videos > Videos > Videos > Videos > Videos > Videos > Videos > Videos > Videos > Email > Display > Display > Paid Search > Videos > Videos > Videos > Videos > Videos > Videos > Videos > Videos > Paid Social > Paid Search > Paid Search > Videos > Videos > Videos > Videos > Email > Paid Search > Email > Paid Social > Videos > Paid Social > Email > Videos > Videos > Videos > Email > Videos > Email > Paid Social > Videos > Videos > Videos > Videos > Videos > Paid Social > Videos > Videos > Videos > Email > Videos > Videos > Videos,2,11.6,5
Paid Social > Paid Social > Email > Paid Social > Paid Search > Paid Social > Paid Social,0,0,3
Push Notifications > Paid Search > Paid Social > Paid Social > Paid Social > Affiliate > Paid Social > SMS > SMS > Paid Social > Push Notifications,0,0,2
Direct Mail > Videos > Paid Social > Paid Social > Paid Social,1,5.565,3
Push Notifications > Push Notifications,0,0,3
Push Notifications > Push Notifications > Display > Push Notifications > Push Notifications > Push Notifications > Paid Search > Paid Social > Paid Social > Videos,1,4.9,3
Paid Search > SMS > Email > Paid Search > Paid Search > Paid Search > Email > Email,1,2.546,3
Display,3,5.67,9
Videos > Display > Push Notifications > Display > Push Notifications > Display,0,0,3
Paid Search > Paid Search > Display > Display > Paid Search > Push Notifications > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social,1,3.671,3
Email > Email > Email > Affiliate > Email > Email > Email > Email,1,9.622,2
Display > Push Notifications,0,0,3
Internal Campaign > Email > Paid Social > Paid Social > Affiliate > Paid Social > Email > Paid Social > SMS > Affiliate > Paid Social,1,2.85,2
Display > Display > Push Notifications > Display,1,3.882,2
Paid Search > Videos > Videos,0,0,3
Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Push Notifications > Paid Search,0,0,3
Push Notifications,44,64.35964912,193
Display > Paid Search > Paid Search > Paid Search > Paid Search > Display > Display > Push Notifications > Push Notifications,1,3.192,2
Email > Email > Push Notifications > Email > SMS > Paid Search > Email > Display > Email > Direct Mail > Email > Email > Email,0,0,2
Paid Search > Display > Paid Search > Paid Search > Paid Search > Email > Paid Search,1,1.477,2
Email > Paid Search > Affiliate > Display > Push Notifications > Paid Social > Direct Mail > Display > Push Notifications > Display > Push Notifications > Display > Display > Display > Display > Display > Push Notifications > Push Notifications > Display > Paid Social > Paid Search > Push Notifications,1,19.113,2
Display > Paid Search > Display > Push Notifications,1,3,3
Display > Push Notifications > Push Notifications,1,12.039,3
Push Notifications > Push Notifications,1,1.201,2
Paid Social > Display > Display > Email > Videos > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Email > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social,1,2.972,3
Push Notifications > Display > Paid Social > Paid Search > Paid Social > Affiliate,0,0,3
Push Notifications,1,2.456,2
Paid Social > Paid Search > Paid Search > Paid Search,1,3.935,2
Direct Mail > Email > Paid Social > Email > Paid Social,1,2.126,3
Push Notifications > Paid Social > Push Notifications,1,5.055,3
Videos > Videos > Videos > Videos > Display > SMS > Display > Videos,1,3.86,3
Display > Display > Paid Search > Affiliate,1,7.6,2
Paid Social > Paid Social > Push Notifications,1,4.844,3
Display > Push Notifications > Paid Social,1,2.204,2
Email > Paid Search > Paid Social > Push Notifications,1,6.58,3
Paid Search > Display > Display > Push Notifications > Display > Display > Display > Push Notifications,1,16.383,2
Push Notifications > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Social > Paid Search,3,6.155,8
Push Notifications > Push Notifications > Paid Social > Push Notifications > Paid Social > Email > Push Notifications > Paid Social,1,1.8,2
Display > Display > Display > Display > Paid Social > Display > Push Notifications > Display > Display > Display > Display > Display > Display > Display > Display > Push Notifications,1,3.476,3
Display > Paid Social > Display > Display > Display > Paid Social > Display > Push Notifications > Display > Push Notifications,0,0,2
Push Notifications > Display > Push Notifications > Paid Social > Email,1,1.33,3
Push Notifications,1,1.579,3
Display > Push Notifications > Display > Push Notifications,1,7.12,2
Push Notifications > Paid Search > Email > Push Notifications,1,5.622,2
Push Notifications,2,1.73,6
Push Notifications > Push Notifications > Push Notifications,0,0,2
Push Notifications,1,3.871,3
Paid Search > Push Notifications,1,1.973,2
Push Notifications > Paid Search > Display > Paid Search > Paid Search > SMS > Paid Search > Paid Search > Display > Push Notifications > Push Notifications > Paid Search > Push Notifications,1,3.275,3
Display > Display > Push Notifications,1,19.472,3
Display > Push Notifications,0,0,2
Affiliate > Videos > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Videos > Videos > Videos > Videos > Videos,1,9,2
Email > Push Notifications > Email > Paid Social > Push Notifications > Email > Push Notifications > Push Notifications,1,0.66,3
Paid Search > Paid Search > Paid Search > Push Notifications > Push Notifications > Push Notifications > Push Notifications > Paid Search > Paid Search > Display > Display > Paid Search > Paid Search > Paid Search > Paid Search > Display > Paid Search > Paid Search > Paid Search > Push Notifications > Display > Display > Display,1,1.286,2
Display > Email > Paid Search > Paid Search,1,1.399,2
Display > Push Notifications > Push Notifications > Display > Push Notifications,1,6.216,3
Push Notifications > Display > Display > Push Notifications > Display > Push Notifications > Paid Social,1,5.95,3
Videos > Videos > Paid Social > Email,0,0,2
Push Notifications > Email > Paid Search > Display > Display > Push Notifications > Paid Search,1,2.023,3
Paid Search > Paid Search > Paid Search,0,0,2
Display > Paid Social > Push Notifications > Display,0,0,3
Paid Search > Paid Search > Affiliate > Videos,1,2.5,3
Display > Display > Videos,1,5.3,2
Paid Search > Videos,2,5.288666667,10
Display > Push Notifications > Push Notifications > Push Notifications,1,11.733,3
Paid Search > Paid Social > Email > Push Notifications > Affiliate > Paid Social,2,8.66,6
Paid Social > Display > Display > Paid Search,2,5.3,6
Paid Search > Paid Search > SMS > Paid Search > Paid Search > Videos,1,11.369,3
Display > Display > Push Notifications,1,3.433,2
Push Notifications > Paid Search > Push Notifications > Paid Social > Email > Push Notifications,1,2.49,3
Display > Display > Display > Push Notifications,1,2.01,2
Display > Display > Paid Social,1,1.72,3
Paid Search > Paid Search > Email > Paid Search > Paid Search > Videos > Email,1,1.83,2
Paid Search > Paid Search > Paid Search,3,18.599,7
Display > Push Notifications > Display > Push Notifications,1,7.229,3
Paid Search > Paid Search > Paid Social > Paid Search > Paid Search > Paid Search > Paid Search > Paid Social > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Social > Paid Search > Paid Search > Paid Search > Email > Email > Paid Social,1,3.2,3
Display > Display > Display > Display > SMS > Display > Display > Push Notifications > Paid Social > Email,1,3.577,2
Display > Email,1,3.181,2
Display > Email > Push Notifications,1,5.47,2
Email > Paid Search > Display > Paid Search > Email > Display > Paid Search > Email > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search,1,3.06,3
Push Notifications > Push Notifications > Paid Social,1,5.647,2
Paid Search > Paid Search > Paid Social > Paid Social > Push Notifications > Paid Search > Paid Social,1,5.85,2
Push Notifications,1,6.676,2
Push Notifications > Push Notifications,1,0.878,3
Paid Search > Push Notifications > Display,1,1.033,3
Paid Search > Videos > Videos > Email > Paid Search,1,2.9,2
Display > Paid Search > Paid Social,1,3.541,2
Affiliate > Push Notifications,1,12.359,3
Push Notifications,1,1.66,3
Paid Search > Paid Search > Paid Search > Videos > Videos > Internal Campaign,1,7.683,2
Push Notifications > Videos > Display > Display > Push Notifications,1,1.25,2
Push Notifications > Paid Social > Push Notifications,0,0,3
Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social,4,10.296,11
Push Notifications,2,15.133,6
Display > Display > Display > Paid Social > Push Notifications,1,2.089,3
Videos > SMS > SMS > Videos > Videos,1,1.74,3
Display > Paid Search > Display > Display > Display > Display > Paid Search > Paid Social,2,10.8,6
Push Notifications > Paid Social > Paid Social > Push Notifications > Paid Social > Paid Social > Videos,1,2.174,3
Paid Search > Paid Search > SMS > Paid Search > Paid Search,0,0,2
Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Email > Email,1,5.93,3
Display > Paid Search,0,0,3
Display > Push Notifications > Display > Push Notifications,1,1.56,2
Paid Search > Paid Search > Paid Search > Paid Social > Videos,1,3.86,2
Videos > Videos > Paid Search > Videos > Videos,1,2.168,3
Display > Display > Paid Search > Display > Paid Social,1,20.365,3
Videos > Paid Search > Email > Email > Email > Email > Paid Social > Paid Social > Paid Social > Paid Search > Paid Social > Videos,1,1.897,2
Display > Display > Push Notifications,0,0,3
Email > SMS > SMS > Email > Email > Paid Social,1,6.3,3
Display > Videos > Paid Social > Videos > Videos > Paid Social > Videos > Paid Social,1,9.03,3
Paid Search > Display > Paid Search,1,5.785,2
Display > Direct Mail > Display > Videos > Push Notifications > Email > Paid Social,0,0,3
Display > Push Notifications,2,11.503,6
Display > Display > Display > Email > Paid Social,1,14.122,3
Paid Search > Display > Push Notifications,1,7.4,2
Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Videos > Videos,1,14.011,3
Email > Paid Social > Email > Paid Search > Email > Email > Paid Social,0,0,3
